id,model_type,model_code,model_name,is_default,is_enabled,config_json,doc_link,remark,sort,creator,create_date,updater,update_date
VAD_WebRTCVAD,VAD,WebRTCVAD,WebRTC语音活动检测,1,1,"{""type"": ""webrtc_vad"", ""vad_sample_rate"": 16000, ""vad_mode"": 2, ""noise_floor"": 0.01, ""min_active_frames"": 2, ""pool_min_size"": 5, ""pool_max_size"": 100, ""pool_max_idle"": 20}",https://webrtc.org/,"WebRTC VAD配置说明：
1. 使用WebRTC VAD进行实时语音活动检测
2. 适合语音助手、对讲等低延迟场景
3. 关键调优参数（默认值已在配置中体现）：
   - vad_sample_rate: 16000（支持 8000/16000/32000/48000，可与音频通道保持一致）
   - vad_mode: 2（0-3，值越大越敏感；嘈杂环境可降到0-1，确保召回可升至3）
   - noise_floor: 0.01（RMS能量阈值，常见范围0.005-0.03；背景噪声大时调高可减少误触）
   - min_active_frames: 2（首次判定所需连续有效帧，突发噪声多时可提高到3-4帧）
   - pool_min_size/pool_max_size/pool_max_idle: 控制VAD实例池大小与回收，按并发量和峰值实时性调节
4. 建议配合 `docs/others/VAD.md` 监控RMS噪声，按设备噪声动态调整 noise_floor 与 min_active_frames，避免漏检/误判",0,,,,
VAD_SileroVAD,VAD,SileroVAD,语音活动检测,0,1,"{""type"": ""silero"", ""model_dir"": ""models/snakers4_silero-vad"", ""threshold"": 0.5, ""min_silence_duration_ms"": 700}",https://github.com/snakers4/silero-vad,"SileroVAD配置说明：
1. 使用SileroVAD模型进行语音活动检测
2. 本地推理，无需网络连接
3. 需要下载模型文件到models/snakers4_silero-vad目录
4. 可配置参数：
   - threshold: 0.5（语音检测阈值）
   - min_silence_duration_ms: 700（最小静音持续时间，单位毫秒）
5. 如果说话停顿比较长，可以适当增加min_silence_duration_ms的值",1,,,,
VAD_SherpaVAD,VAD,SherpaVAD,Sherpa语音活动检测,0,1,"{""type"": ""sherpa_vad"", ""model_path"": ""config/models/vad/silero_vad.onnx"", ""sample_rate"": 16000, ""num_threads"": 1, ""provider"": ""cpu"", ""threshold"": 0.5, ""min_silence_duration"": 0.5, ""min_speech_duration"": 0.25, ""max_speech_duration"": 0.0, ""window_size"": 512, ""buffer_size_seconds"": 5.0}",https://github.com/k2-fsa/sherpa-onnx,"Sherpa VAD配置说明：
1. 基于 sherpa-onnx 的 Silero VAD 模型，适合需要更强噪声鲁棒性的场景
2. 关键调优参数：
   - model_path: 模型文件路径，缺省时自动回落到内置 silero_vad.onnx
   - threshold: 0.5（语音置信度阈值，嘈杂环境可升至0.6-0.65，避免漏检可降至0.4）
   - min_silence_duration: 0.5（静音截断阈值，快速对话可降到0.3）
   - min_speech_duration: 0.25（最小语音时长，想要快速触发可降到0.15）
   - max_speech_duration: 0.0（0表示不限制；需要强制分段时可设为4-8秒）
   - window_size: 512（FFT窗口大小，保持与模型训练一致，非必要不建议更改）
   - buffer_size_seconds: 5.0（内部缓冲长度，长语音或高延迟链路可增至8-10）
   - sample_rate/num_threads/provider: 控制输入采样率与推理资源，GPU 推理需将 provider 设为 cuda 并调整线程数
3. 建议结合 `docs/others/VAD.md` 的监控指标，把上游 RMS、延迟、VAD 判定日志纳入观测后再做细调",2,,,,
ASR_AliyunASR,ASR,AliyunASR,阿里云语音识别,0,1,"{""type"": ""aliyun"", ""token"": """", ""appkey"": """", ""output_dir"": ""tmp/"", ""access_key_id"": """", ""access_key_secret"": """"}",https://nls-portal.console.aliyun.com/,"阿里云ASR配置说明：
1. 访问 https://nls-portal.console.aliyun.com/ 开通服务
2. 访问 https://nls-portal.console.aliyun.com/applist 获取appkey
3. 访问 https://nls-portal.console.aliyun.com/overview 获取token
4. 获取access_key_id和access_key_secret
5. 填入配置文件中",6,,,,
ASR_AliyunStreamASR,ASR,AliyunStreamASR,阿里云语音识别(流式),0,1,"{""host"": ""nls-gateway-cn-shanghai.aliyuncs.com"", ""type"": ""aliyun_stream"", ""token"": """", ""appkey"": """", ""output_dir"": ""tmp/"", ""access_key_id"": """", ""access_key_secret"": """", ""max_sentence_silence"": 800}",https://nls-portal.console.aliyun.com/,"阿里云流式ASR配置说明：
1. 阿里云ASR和阿里云(流式)ASR的区别是：阿里云ASR是一次性识别，阿里云(流式)ASR是实时流式识别
2. 流式ASR具有更低的延迟和更好的实时性，适合语音交互场景
3. 需要在阿里云智能语音交互控制台创建应用并获取认证信息
4. 支持中文实时语音识别，支持标点符号预测和逆文本规范化
5. 需要网络连接，输出文件保存在tmp/目录
申请步骤：
1. 访问 https://nls-portal.console.aliyun.com/ 开通智能语音交互服务
2. 访问 https://nls-portal.console.aliyun.com/applist 创建项目并获取appkey
3. 访问 https://nls-portal.console.aliyun.com/overview 获取临时token（或配置access_key_id和access_key_secret自动获取）
4. 如需动态token管理，建议配置access_key_id和access_key_secret
5. max_sentence_silence参数控制断句检测时间（毫秒），默认800ms
如需了解更多参数配置，请参考：https://help.aliyun.com/zh/isi/developer-reference/real-time-speech-recognition
",8,,,,
ASR_BaiduASR,ASR,BaiduASR,百度语音识别,0,0,"{""type"": ""baidu"", ""app_id"": """", ""api_key"": """", ""dev_pid"": 1537, ""output_dir"": ""tmp/"", ""secret_key"": """"}",https://console.bce.baidu.com/ai-engine/old/#/ai/speech/app/list,"百度ASR配置说明：
1. 访问 https://console.bce.baidu.com/ai-engine/old/#/ai/speech/app/list
2. 创建新应用
3. 获取AppID、API Key和Secret Key
4. 填入配置文件中
查看资源额度：https://console.bce.baidu.com/ai-engine/old/#/ai/speech/overview/resource/list
语言参数说明：https://ai.baidu.com/ai-doc/SPEECH/0lbxfnc9b
",7,,,,
ASR_DoubaoASR,ASR,DoubaoASR,豆包语音识别,0,1,"{""type"": ""doubao"", ""appid"": """", ""cluster"": ""volcengine_input_common"", ""output_dir"": ""tmp/"", ""access_token"": """"}",https://console.volcengine.com/speech/app,"豆包ASR配置说明：
1. 豆包ASR和豆包(流式)ASR的区别是：豆包ASR是按次收费，豆包(流式)ASR是按时收费
2. 一般来说按次收费的更便宜，但是豆包(流式)ASR使用了大模型技术，效果更好
3. 需要在火山引擎控制台创建应用并获取appid和access_token
4. 支持中文语音识别
5. 需要网络连接
6. 输出文件保存在tmp/目录
申请步骤：
1. 访问 https://console.volcengine.com/speech/app
2. 创建新应用
3. 获取appid和access_token
4. 填入配置文件中
如需设置热词，请参考：https://www.volcengine.com/docs/6561/155738
",3,,,,
ASR_DoubaoStreamASR,ASR,DoubaoStreamASR,豆包语音识别(流式),0,1,"{""type"": ""doubao_stream"", ""appid"": """", ""cluster"": ""volcengine_input_common"", ""output_dir"": ""tmp/"", ""access_token"": """"}",https://console.volcengine.com/speech/app,"豆包ASR配置说明：
1. 豆包ASR和豆包(流式)ASR的区别是：豆包ASR是按次收费，豆包(流式)ASR是按时收费
2. 一般来说按次收费的更便宜，但是豆包(流式)ASR使用了大模型技术，效果更好
3. 需要在火山引擎控制台创建应用并获取appid和access_token
4. 支持中文语音识别
5. 需要网络连接
6. 输出文件保存在tmp/目录
申请步骤：
1. 访问 https://console.volcengine.com/speech/app
2. 创建新应用
3. 获取appid和access_token
4. 填入配置文件中
如需设置热词，请参考：https://www.volcengine.com/docs/6561/155738
",3,,,,
ASR_FunASR,ASR,FunASR,FunASR语音识别,0,1,"{""type"": ""fun_local"", ""model_dir"": ""models/SenseVoiceSmall"", ""output_dir"": ""tmp/""}",https://github.com/modelscope/FunASR,"FunASR本地模型配置说明：
1. 需要下载模型文件到xiaozhi-server/models/SenseVoiceSmall目录
2. 支持中日韩粤语音识别
3. 本地推理，无需网络连接
4. 待识别文件保存在tmp/目录",1,,,,
ASR_FunASRServer,ASR,FunASRServer,FunASR服务语音识别,0,1,"{""host"": ""127.0.0.1"", ""port"": 10096, ""type"": ""fun_server"", ""is_ssl"": true, ""api_key"": ""none"", ""output_dir"": ""tmp/""}",https://github.com/modelscope/FunASR/blob/main/runtime/docs/SDK_advanced_guide_online_zh.md,"独立部署FunASR，使用FunASR的API服务，只需要五句话
第一句：mkdir -p ./funasr-runtime-resources/models
第二句：sudo docker run -p 10096:10095 -it --privileged=true -v $PWD/funasr-runtime-resources/models:/workspace/models registry.cn-hangzhou.aliyuncs.com/funasr_repo/funasr:funasr-runtime-sdk-online-cpu-0.1.12
上一句话执行后会进入到容器，继续第三句：cd FunASR/runtime
不要退出容器，继续在容器中执行第四句：nohup bash run_server_2pass.sh --download-model-dir /workspace/models --vad-dir damo/speech_fsmn_vad_zh-cn-16k-common-onnx --model-dir damo/speech_paraformer-large-vad-punc_asr_nat-zh-cn-16k-common-vocab8404-onnx  --online-model-dir damo/speech_paraformer-large_asr_nat-zh-cn-16k-common-vocab8404-online-onnx  --punc-dir damo/punc_ct-transformer_zh-cn-common-vad_realtime-vocab272727-onnx --lm-dir damo/speech_ngram_lm_zh-cn-ai-wesp-fst --itn-dir thuduj12/fst_itn_zh --hotword /workspace/models/hotwords.txt > log.txt 2>&1 &
上一句话执行后会进入到容器，继续第五句：tail -f log.txt
第五句话执行完后，会看到模型下载日志，下载完后就可以连接使用了
以上是使用CPU推理，如果有GPU，详细参考：https://github.com/modelscope/FunASR/blob/main/runtime/docs/SDK_advanced_guide_online_zh.md",5,,,,
ASR_GroqASR,ASR,GroqASR,Groq语音识别,0,0,"{""type"": ""openai"", ""api_key"": """", ""base_url"": ""https://api.groq.com/openai/v1/audio/transcriptions"", ""model_name"": ""whisper-large-v3-turbo"", ""output_dir"": ""tmp/""}",https://console.groq.com/docs/speech-to-text,"Groq ASR配置说明：
1.登录groq Console。https://console.groq.com/home
2.创建api-key  https://console.groq.com/keys
3.模型可以选择whisper-large-v3-turbo或whisper-large-v3（distil-whisper-large-v3-en仅支持英语转录）
",0,,,,
ASR_OpenaiASR,ASR,OpenaiASR,OpenAI语音识别,0,0,"{""type"": ""openai"", ""api_key"": """", ""base_url"": ""https://api.openai.com/v1/audio/transcriptions"", ""model_name"": ""gpt-4o-mini-transcribe"", ""output_dir"": ""tmp/""}",https://platform.openai.com/docs/api-reference/audio/createTranscription,"OpenAI ASR配置说明：
1. 需要在OpenAI开放平台创建组织并获取api_key
2. 支持中、英、日、韩等多种语音识别，具体参考文档https://platform.openai.com/docs/guides/speech-to-text
3. 需要网络连接
4. 输出文件保存在tmp/目录
申请步骤：
**OpenAI ASR申请步骤：**
1.登录OpenAI Platform。https://auth.openai.com/log-in
2.创建api-key  https://platform.openai.com/settings/organization/api-keys
3.模型可以选择gpt-4o-transcribe或GPT-4o mini Transcribe
",9,,,,
ASR_OpenAIRealtime,ASR,OpenAIRealtimeASR,OpenAI Realtime语音识别,1,1,"{""type"": ""openai_realtime"", ""url"": ""ws://example.localhost:8009/v1/realtime?intent=transcription"", ""auth_token"": """", ""sample_rate"": 16000, ""frame_duration"": 20}",https://platform.openai.com/docs/api-reference/realtime,"OpenAI Realtime ASR配置说明：
1. 推荐搭配`speech-server`部署，或指向任意兼容OpenAI Realtime协议的语音识别服务
2. url需携带`intent=transcription`参数，auth_token填写服务要求的Bearer令牌（如无鉴权可留空）
3. sample_rate与frame_duration应与设备推送音频一致，常用取值为16kHz与20ms
",0,,,,
